n,q,p_in,p_out,Glauber,Glauber_STD,Metropolis,Metropolis_STD,Average,Average_STD
40,2,0.002,0.001001001001001001,0.545,0.125,0.5325,0.07499999999999996,0.5725,0.17500000000000004
40,2,0.003,0.001001001001001001,0.5675,0.125,0.5625000000000001,0.125,0.565,0.07499999999999996
40,2,0.004,0.001001001001001001,0.5625,0.125,0.585,0.19999999999999996,0.5575,0.17500000000000004
40,2,0.005,0.001001001001001001,0.5700000000000001,0.25,0.5775,0.25,0.5775,0.125
40,2,0.006,0.001001001001001001,0.61,0.22499999999999998,0.5624999999999999,0.125,0.585,0.09999999999999998
40,2,0.007,0.001001001001001001,0.5425000000000001,0.19999999999999996,0.59,0.25,0.5875,0.15000000000000002
40,2,0.008,0.001001001001001001,0.5900000000000001,0.19999999999999996,0.5725,0.125,0.53,0.07499999999999996
40,2,0.009,0.001001001001001001,0.57,0.17500000000000004,0.5325,0.07499999999999996,0.5850000000000001,0.17499999999999993
40,2,0.01,0.001001001001001001,0.58,0.09999999999999998,0.5774999999999999,0.15000000000000002,0.555,0.125
40,2,0.011,0.001001001001001001,0.5625,0.22499999999999998,0.5725,0.19999999999999996,0.5975,0.22499999999999998
40,2,0.012,0.001001001001001001,0.5899999999999999,0.125,0.555,0.125,0.55,0.125
40,2,0.013,0.001001001001001001,0.5625,0.09999999999999998,0.5625,0.07499999999999996,0.5850000000000001,0.19999999999999996
40,2,0.014,0.001001001001001001,0.5775,0.19999999999999996,0.585,0.19999999999999996,0.6024999999999999,0.19999999999999996
40,2,0.015,0.001001001001001001,0.5574999999999999,0.17500000000000004,0.6,0.19999999999999996,0.5800000000000001,0.15000000000000002
40,2,0.016,0.001001001001001001,0.5525,0.125,0.5675,0.15000000000000002,0.5825,0.15000000000000002
40,2,0.017,0.001001001001001001,0.5900000000000001,0.22499999999999998,0.54,0.09999999999999998,0.5900000000000001,0.22499999999999998
40,2,0.018,0.001001001001001001,0.5549999999999999,0.125,0.5925,0.22499999999999998,0.5575000000000001,0.15000000000000002
40,2,0.019,0.001001001001001001,0.5725,0.15000000000000002,0.62,0.275,0.615,0.25
40,2,0.02,0.001001001001001001,0.615,0.275,0.585,0.19999999999999996,0.5875,0.19999999999999996
40,2,0.021,0.001001001001001001,0.5624999999999999,0.17500000000000004,0.58,0.25,0.565,0.17500000000000004
40,2,0.022,0.001001001001001001,0.6075,0.17499999999999993,0.6,0.1499999999999999,0.605,0.22499999999999998
40,2,0.023,0.001001001001001001,0.5625,0.19999999999999996,0.6249999999999999,0.17499999999999993,0.5700000000000001,0.17499999999999993
40,2,0.024,0.001001001001001001,0.5599999999999999,0.125,0.5850000000000001,0.19999999999999996,0.6025,0.17499999999999993
40,2,0.025,0.001001001001001001,0.5625,0.17500000000000004,0.585,0.125,0.5725,0.22499999999999998
40,2,0.026,0.001001001001001001,0.5775,0.125,0.585,0.19999999999999996,0.5750000000000001,0.19999999999999996
40,2,0.027,0.001001001001001001,0.59,0.17500000000000004,0.5874999999999999,0.22499999999999998,0.5725,0.17500000000000004
40,2,0.028,0.001001001001001001,0.5774999999999999,0.15000000000000002,0.5625,0.09999999999999998,0.6025,0.22499999999999998
